Title,Artist,Genres,Tags,Url
679,Fetty Wap Ft. Remy Boyz,Hip-Hop,Wedding,
1234,Feist,,Wedding,
7/11,Beyoncé,Pop,Wedding,
(I've Had) The Time of My Life,Bill Medley and Jennifer Warnes,,Wedding,
#Selfie,The Chainsmokers,,Wedding,
1 2 3 4,Plain White Ts,,Wedding,
24K Magic,Bruno Mars,,Wedding,https://www.youtube.com/watch?v=UqyT8IEBkvY
4 Minutes,Madonna,Pop/Rock,Wedding,
5 Years Time,Noah and the Whale,,Wedding,
500 Miles,Sleeping at Last,,Wedding,
679 (feat. Remy Boyz),Fetty Wap,Hip-Hop/Rap,Wedding,
A Thousand Years,Christina Perri,,Wedding,
Abc,Jackson 5,Pop,Wedding,
Africa,Toto,,Wedding,https://www.youtube.com/watch?v=FTQbiNvZqaY
Ain't No Mountain High Enough,Marvin Gaye,,Wedding,
Ain't That a Kick in the Head,Dean Martin,,Wedding,https://www.youtube.com/watch?v=KvYfsbtExoU
Aint no other man,Christina Aguilera,Unknown,Wedding,
Air from The Water Music,Handel,,Wedding,
All About That Bass,Meghan Trainor,,Wedding,
All of Me,John Legend,,Wedding,https://www.youtube.com/watch?v=450p7goxZqg&list=LLegLrt_yrG8WZM3QXSCDaUg&index=149
All That She Wants,Ace of Base,Pop,Wedding,
All You Need is Love,The Beatles,,Wedding,
Always Be My Baby,Mariah Carey,,Wedding,https://www.youtube.com/watch?v=LfRNRymrv9k
Amazed,Lonestar,,Wedding,
Amazing,George Michael,Pop,Wedding,
American Boy ,Kanye West,,Wedding,
Angel,Pharrell Williams,Soul and R&B,Wedding,
Angel,Shaggy ft. Rayvon,,Wedding,
Another Sunny Day,Belle and Sebastian,,Wedding,
Any Man of Mine,Shania Twain,,Wedding,
As,Stevie Wonder,,Wedding,
As Long as You Love Me,Backstreet Boys,,Wedding,https://www.youtube.com/watch?v=0Gl2QnHNpkA
At Last,Etta James,,Wedding,https://www.youtube.com/watch?v=S-cbOl96RFM
Ave Maria,Schubert,,Wedding,
Ayo,Chris Brown X Tyga,Hip-Hop/Rap,Wedding,
Baby Be Mine,Michael Jackson,Pop,Wedding,
Baby Got Back,Sir Mix-A-Lot,,Wedding,https://www.youtube.com/watch?v=X53ZSxkQ3Ho
Baby I Need Your Loving,The Four Tops,,Wedding,
